shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Route_1,42.2209907703088,-8.73293066783702,1,8
Route_1,42.2209703914058,-8.73302265022033,2,16
Route_1,42.2218957554091,-8.73379151366068,3,137
Route_1,42.2223591910967,-8.73417658165955,4,197
Route_1,42.2231735660858,-8.73485326084759,5,304
Route_1,42.2237520376969,-8.7353254342965,6,379
Route_1,42.2238663936978,-8.73541877780045,7,393
Route_1,42.2238820150439,-8.73543152862437,8,396
Route_1,42.223961783472,-8.73549663920997,9,406
Route_1,42.2241770986034,-8.73564954936379,10,433
Route_1,42.2241771451757,-8.7356496410608,11,433
Route_1,42.224256594419,-8.73560538461206,12,443
Route_1,42.2242903603171,-8.73559197356698,13,446
Route_1,42.2243221399695,-8.73558929135797,14,450
Route_1,42.2243442152161,-8.7355927023178,15,452
Route_1,42.2243662231556,-8.73560679901862,16,455
Route_1,42.2243662904506,-8.73560684212296,17,455
Route_1,42.2244184288715,-8.73561690040677,18,461
Route_1,42.2244665948032,-8.73564305194466,19,467
Route_1,42.2244999954309,-8.73566992306567,20,471
Route_1,42.2245254137357,-8.73570746769846,21,475
Route_1,42.224525451168,-8.73570752298858,22,475
Route_1,42.2248325804154,-8.73554948614547,23,512
Route_1,42.2248424646614,-8.73554440006683,24,513
Route_1,42.2249503805354,-8.73549151851647,25,525
Route_1,42.2253496476606,-8.73529586568102,26,573
Route_1,42.2273979904444,-8.73417403062683,27,818
Route_1,42.2275057609909,-8.73411500463438,28,831
Route_1,42.227540293091,-8.73409609133608,29,835
Route_1,42.2276825954443,-8.73401815206634,30,852
Route_1,42.2277291962354,-8.7338487733246,31,867
Route_1,42.2277293812338,-8.73384870100153,32,867
Route_1,42.2277674110409,-8.73382317548966,33,872
Route_1,42.2285504869889,-8.73329757686329,34,969
Route_1,42.2287662148285,-8.73316826587066,35,995
Route_1,42.2289903043758,-8.73308412924339,36,1021
Route_1,42.2294426622565,-8.73293279676469,37,1073
Route_1,42.2296186411789,-8.73287065929755,38,1093
Route_1,42.22974779252,-8.73282505623545,39,1108
Route_1,42.2300558159815,-8.73271629302431,40,1143
Route_1,42.2308257753596,-8.73244807212282,41,1231
Route_1,42.2314078527744,-8.73224602432555,42,1298
Route_1,42.2315172014807,-8.73220806731663,43,1311
Route_1,42.2316001148436,-8.73217928642512,44,1320
Route_1,42.2326086048722,-8.73189107715032,45,1435
Route_1,42.2326631427125,-8.73187549089303,46,1441
Route_1,42.232717701059,-8.73185397857122,47,1447
Route_1,42.2330462249615,-8.73172444097614,48,1485
Route_1,42.2334209432149,-8.73156774293344,49,1529
Route_1,42.2341075848371,-8.73130708001462,50,1608
Route_1,42.2343610241931,-8.73121086785355,51,1637
Route_1,42.234401623127,-8.7311949878044,52,1642
Route_1,42.2346345681524,-8.73110387222678,53,1669
Route_1,42.2347753488289,-8.73104880604765,54,1685
Route_1,42.2348825872778,-8.73142967972777,55,1719
Route_1,42.2351752459871,-8.7314528314611,56,1751
Route_1,42.2355609261651,-8.73127834659422,57,1796
Route_1,42.235901454187,-8.73138748114211,58,1835
Route_1,42.2363648720238,-8.73153600211851,59,1888
Route_1,42.2363659275456,-8.73153610227396,60,1888
Route_1,42.2366141581669,-8.73121960161021,61,1926
Route_1,42.236930428451,-8.73027998216108,62,2011
Route_1,42.2370677787917,-8.72998085481484,63,2040
Route_1,42.2371669600274,-8.72981038810465,64,2058
Route_1,42.2372244938899,-8.72973320141753,65,2067
Route_1,42.2372919567988,-8.7296721079845,66,2076
Route_1,42.2373845709271,-8.72960375821712,67,2088
Route_1,42.2381683264267,-8.72920596822601,68,2181
Route_1,42.2382692103725,-8.72911992537061,69,2194
Route_1,42.2384662476863,-8.72921458079523,70,2218
Route_1,42.2386638340976,-8.72916672454826,71,2240
Route_1,42.2389115865093,-8.72898899267616,72,2271
Route_1,42.2390924493146,-8.72874349884674,73,2300
